hello,:-)!,Time,Interval:,1480562138.13259,Running,Time:,0,,,,,,,,,,,,,,,,,,,,,,Average Interval,Std Dev,Variance,Max,Min
[(40,,39,,15,,21,,4.7258763313,,1.6957247257,,1.9022305012,,-0.0022482211,,-0.001911122,,0.0030956978,,0.9999921321868896)],Time,Interval:,0.010043,Running,Time:,8.218221,,,,,,,
[(48,,39,,15,,21,,4.7259216309,,1.6957496405,,1.9022706747,,-0.0021915622,,-0.0018063305,,0.003098754,,0.9999909996986389)],Time,Interval:,0.010029,Running,Time:,9.626537,,,,,,,
[(56,,39,,15,,21,,4.7258739471,,1.69576478,,1.9022306204,,-0.0023645693,,-0.0016729333,,0.0030027381,,0.9999913573265076)],Time,Interval:,0.010027,Running,Time:,5.435663,,,,,,,
[(65,,39,,15,,21,,4.7259192467,,1.6956298351,,1.9022849798,,-0.0022545815,,-0.0018226798,,0.0032332011,,0.9999909400939941)],Time,Interval:,0.010027,Running,Time:,11.301361,,,,,,,
[(73,,39,,15,,21,,4.7259912491,,1.6957354546,,1.9022670984,,-0.002207926,,-0.0016977947,,0.0031763813,,0.9999910593032837)],Time,Interval:,0.010025,Running,Time:,6.801447,,,,,,,
[(82,,39,,15,,21,,4.72590065,,1.6957777739,,1.9022712708,,-0.0022985076,,-0.0017617185,,0.0028333913,,0.9999911785125732)],Time,Interval:,0.010017,Running,Time:,0.927235,,,,,,,
[(90,,39,,15,,21,,4.725903511,,1.6957421303,,1.9022369385,,-0.0021892721,,-0.0018046628,,0.003038276,,0.9999911785125732)],Time,Interval:,0.010014,Running,Time:,9.601296,,,,,,,
[(98,,39,,15,,21,,4.7258138657,,1.6957163811,,1.9022198915,,-0.002341233,,-0.001728837,,0.002986684,,0.9999904036521912)],Time,Interval:,0.010003,Running,Time:,8.101575,,,,,,,
[(107,,39,,15,,21,,4.7257680893,,1.6957677603,,1.9021948576,,-0.0023239497,,-0.0016915719,,0.0029454033,,0.9999914765357971)],Time,Interval:,0.009993,Running,Time:,15.884355,,,,,,,
[(115,,39,,15,,21,,4.7258739471,,1.6957554817,,1.9022551775,,-0.0023612634,,-0.0017167967,,0.0030367004,,0.9999905228614807)],Time,Interval:,0.009985,Running,Time:,5.518506,,,,,,,
[(123,,39,,15,,21,,4.7259364128,,1.6957620382,,1.9022248983,,-0.0022362093,,-0.0018588773,,0.0032378212,,0.9999904036521912)],Time,Interval:,0.009971,Running,Time:,4.601911,,,,,,,
[(132,,39,,15,,21,,4.7258944511,,1.6957633495,,1.9022403955,,-0.0023891032,,-0.0016904206,,0.0030384664,,0.9999902844429016)],Time,Interval:,0.009968,Running,Time:,3.243266,,,,,,,
[(141,,39,,15,,21,,4.7260231972,,1.695761323,,1.9022604227,,-0.0022360638,,-0.0017554049,,0.0031663727,,0.9999908804893494)],Time,Interval:,0.009939,Running,Time:,1.951022,,,,,,,
[(148,,39,,15,,21,,4.7259964943,,1.6957387924,,1.9022578001,,-0.002264689,,-0.0017277411,,0.0032138822,,0.9999909400939941)],Time,Interval:,0.009939,Running,Time:,5.584884,,,,,,,
[(157,,39,,15,,21,,4.7259321213,,1.6956728697,,1.9022879601,,-0.0022891022,,-0.0017405218,,0.0031232391,,0.9999915361404419)],Time,Interval:,0.009892,Running,Time:,8.309742,,,,,,,
[(165,,39,,15,,21,,4.725839138,,1.6957519054,,1.9022225142,,-0.0021697974,,-0.0018073466,,0.00311301,,0.9999906420707703)],Time,Interval:,0.009889,Running,Time:,6.484689,,,,,,,
[(173,,39,,15,,21,,4.7258434296,,1.6957639456,,1.9022359848,,-0.0022232053,,-0.0019518521,,0.0031095943,,0.9999912977218628)],Time,Interval:,0.009888,Running,Time:,10.551446,,,,,,,
[(182,,39,,15,,21,,4.7259058952,,1.6957564354,,1.9022706747,,-0.0023607796,,-0.0017666297,,0.0030335826,,0.9999905228614807)],Time,Interval:,0.009869,Running,Time:,9.134904,,,,,,,
[(190,,39,,15,,21,,4.7259345055,,1.6957057714,,1.9022780657,,-0.0021334754,,-0.001756908,,0.0030044233,,0.9999915957450867)],Time,Interval:,0.009867,Running,Time:,7.476137,,,,,,,
