hello :-)!	Time Interval: 1479086849.711410	Running Time: 0.000000
[(1.6287204027175903,), (0.7689798474311829,)]	Time Interval: 0.008529	Running Time: 0.889194
[(1.6286505460739136,)]	Time Interval: 0.008737	Running Time: 0.897931
[(0.7690536975860596,)]	Time Interval: 0.000039	Running Time: 0.897970
[(1.6286331415176392,), (0.7689357995986938,)]	Time Interval: 0.007801	Running Time: 0.905771
[(1.6286330223083496,), (0.7689149379730225,)]	Time Interval: 0.008515	Running Time: 0.914286
[(1.6286033391952515,)]	Time Interval: 0.008042	Running Time: 0.922328
[(0.7690072655677795,)]	Time Interval: 0.002000	Running Time: 0.924328
[(1.6285948753356934,), (0.769118070602417,)]	Time Interval: 0.006406	Running Time: 0.930734
[(1.628652811050415,), (0.7686457633972168,)]	Time Interval: 0.008167	Running Time: 0.938901
[(1.6286206245422363,)]	Time Interval: 0.008512	Running Time: 0.947413
[(0.769044816493988,)]	Time Interval: 0.001966	Running Time: 0.949379
[(1.628630518913269,), (0.7690101265907288,)]	Time Interval: 0.006719	Running Time: 0.956098
[(1.6286455392837524,), (0.7690613269805908,)]	Time Interval: 0.008271	Running Time: 0.964369
[(1.6285982131958008,)]	Time Interval: 0.008875	Running Time: 0.973244
[(0.769400954246521,)]	Time Interval: 0.001934	Running Time: 0.975178
[(1.6286383867263794,), (0.7690094113349915,)]	Time Interval: 0.005776	Running Time: 0.980954
[(1.6286742687225342,), (0.7690153121948242,)]	Time Interval: 0.008287	Running Time: 0.989241
[(1.6287157535552979,)]	Time Interval: 0.008274	Running Time: 0.997515
[(0.768867552280426,)]	Time Interval: 0.002004	Running Time: 0.999519
[(1.6287126541137695,), (0.7688508033752441,)]	Time Interval: 0.006463	Running Time: 1.005982
[(1.628738522529602,), (0.7686567306518555,)]	Time Interval: 0.009210	Running Time: 1.015192
[(1.628704309463501,)]	Time Interval: 0.007203	Running Time: 1.022395
[(0.7691025137901306,)]	Time Interval: 0.001956	Running Time: 1.024351
[(1.6286379098892212,), (0.7690436244010925,)]	Time Interval: 0.006655	Running Time: 1.031006
[(1.6286801099777222,), (0.7690538763999939,)]	Time Interval: 0.008404	Running Time: 1.039410
[(1.6286394596099854,)]	Time Interval: 0.009103	Running Time: 1.048513
[(0.7687634825706482,)]	Time Interval: 0.000055	Running Time: 1.048568
[(1.6286054849624634,), (0.7690834403038025,)]	Time Interval: 0.007795	Running Time: 1.056363
[(1.628607153892517,), (0.7690980434417725,)]	Time Interval: 0.008211	Running Time: 1.064574
[(1.6286041736602783,)]	Time Interval: 0.008127	Running Time: 1.072701
[(0.7691553831100464,)]	Time Interval: 0.001994	Running Time: 1.074695
[(1.6286253929138184,), (0.7689850330352783,)]	Time Interval: 0.006471	Running Time: 1.081166
[(1.62861168384552,), (0.7690828442573547,)]	Time Interval: 0.007658	Running Time: 1.088824
[(1.628621220588684,)]	Time Interval: 0.008438	Running Time: 1.097262
[(0.7689576745033264,)]	Time Interval: 0.001923	Running Time: 1.099185
[(1.6286442279815674,), (0.7687734961509705,)]	Time Interval: 0.006999	Running Time: 1.106184
[(1.6286859512329102,), (0.7686536312103271,)]	Time Interval: 0.008384	Running Time: 1.114568
[(1.628709077835083,)]	Time Interval: 0.008243	Running Time: 1.122811
[(0.7687874436378479,)]	Time Interval: 0.000039	Running Time: 1.122850
[(1.628703236579895,), (0.7688561081886292,)]	Time Interval: 0.010626	Running Time: 1.133476
[(1.6286979913711548,), (0.768832266330719,)]	Time Interval: 0.005774	Running Time: 1.139250
[(1.6286743879318237,)]	Time Interval: 0.008365	Running Time: 1.147615
[(0.7690598964691162,)]	Time Interval: 0.001896	Running Time: 1.149511
[(1.6286282539367676,), (0.7690497636795044,)]	Time Interval: 0.006082	Running Time: 1.155593
[(1.6286319494247437,), (0.769102156162262,)]	Time Interval: 0.008995	Running Time: 1.164588
[(1.6286706924438477,)]	Time Interval: 0.008420	Running Time: 1.173008
[(0.7690832018852234,)]	Time Interval: 0.000038	Running Time: 1.173046
[(1.6286042928695679,), (0.7690770030021667,)]	Time Interval: 0.008023	Running Time: 1.181069
[(1.6286166906356812,), (0.7690161466598511,)]	Time Interval: 0.008310	Running Time: 1.189379
[(1.628671407699585,)]	Time Interval: 0.008793	Running Time: 1.198172
[(0.7690489292144775,)]	Time Interval: 0.000038	Running Time: 1.198210
[(1.628631591796875,), (0.7690547704696655,)]	Time Interval: 0.007945	Running Time: 1.206155
[(1.6286592483520508,), (0.7686169743537903,)]	Time Interval: 0.008974	Running Time: 1.215129
[(1.628626823425293,)]	Time Interval: 0.007584	Running Time: 1.222713
[(0.7688460946083069,)]	Time Interval: 0.000038	Running Time: 1.222751
[(1.628607153892517,), (0.7691307663917542,)]	Time Interval: 0.008317	Running Time: 1.231068
[(1.628631353378296,), (0.7688266634941101,)]	Time Interval: 0.008342	Running Time: 1.239410
[(1.628639578819275,)]	Time Interval: 0.008401	Running Time: 1.247811
[(0.7693385481834412,)]	Time Interval: 0.002113	Running Time: 1.249924
[(1.6288150548934937,), (0.7704287171363831,)]	Time Interval: 0.005892	Running Time: 1.255816
[(1.6286534070968628,), (0.7690979242324829,)]	Time Interval: 0.009112	Running Time: 1.264928
[(1.629193663597107,)]	Time Interval: 0.007466	Running Time: 1.272394
[(0.7686511874198914,)]	Time Interval: 0.001930	Running Time: 1.274324
[(1.6284797191619873,), (0.7687681317329407,)]	Time Interval: 0.006449	Running Time: 1.280773
[(1.6286941766738892,), (0.7687405347824097,)]	Time Interval: 0.008315	Running Time: 1.289088
[(1.6286367177963257,)]	Time Interval: 0.008350	Running Time: 1.297438
[(0.7689910531044006,)]	Time Interval: 0.001956	Running Time: 1.299394
[(1.6274816989898682,), (0.768942654132843,)]	Time Interval: 0.006368	Running Time: 1.305762
[(1.6286526918411255,), (0.768872082233429,)]	Time Interval: 0.008743	Running Time: 1.314505
[(1.6286221742630005,)]	Time Interval: 0.008140	Running Time: 1.322645
[(0.7691565752029419,)]	Time Interval: 0.000043	Running Time: 1.322688
[(1.6286534070968628,), (0.7691420316696167,)]	Time Interval: 0.008291	Running Time: 1.330979
[(1.628630518913269,), (0.7687988877296448,)]	Time Interval: 0.008193	Running Time: 1.339172
[(1.6286499500274658,)]	Time Interval: 0.009151	Running Time: 1.348323
[(0.7688683271408081,)]	Time Interval: 0.000043	Running Time: 1.348366
[(1.6286165714263916,), (0.7690407037734985,)]	Time Interval: 0.007790	Running Time: 1.356156
[(1.628637671470642,), (0.7690222263336182,)]	Time Interval: 0.008135	Running Time: 1.364291
[(1.6284641027450562,)]	Time Interval: 0.007739	Running Time: 1.372030
[(0.7689968347549438,)]	Time Interval: 0.002106	Running Time: 1.374136
[(1.6284641027450562,), (0.7689968347549438,)]	Time Interval: 0.006709	Running Time: 1.380845
[(1.628371000289917,), (0.769106924533844,)]	Time Interval: 0.008304	Running Time: 1.389149
[(1.6284074783325195,)]	Time Interval: 0.008544	Running Time: 1.397693
[(0.7693629860877991,)]	Time Interval: 0.000037	Running Time: 1.397730
[(1.7498372793197632,), (0.22769026458263397,), (2.2625625133514404,)]	Time Interval: 0.008701	Running Time: 1.406431
[(1.7498372793197632,), (0.22769026458263397,), (2.2625625133514404,)]	Time Interval: 0.008709	Running Time: 1.415140
[(1.6283514499664307,), (0.7689189314842224,)]	Time Interval: 0.007674	Running Time: 1.422814
[(1.6283924579620361,), (0.7688671350479126,)]	Time Interval: 0.008509	Running Time: 1.431323
[(1.6284343004226685,)]	Time Interval: 0.008057	Running Time: 1.439380
[(0.768587589263916,)]	Time Interval: 0.000038	Running Time: 1.439418
[(1.6284472942352295,), (0.7693037986755371,)]	Time Interval: 0.009138	Running Time: 1.448556
[(1.6285464763641357,), (0.7688559889793396,)]	Time Interval: 0.007520	Running Time: 1.456076
[(1.6285934448242188,)]	Time Interval: 0.009261	Running Time: 1.465337
[(0.7692527770996094,)]	Time Interval: 0.000039	Running Time: 1.465376
[(1.6286815404891968,), (0.7688245177268982,)]	Time Interval: 0.019122	Running Time: 1.484498
[(1.6287806034088135,), (0.7688003182411194,)]	Time Interval: 0.002168	Running Time: 1.486666
[(1.628892183303833,)]	Time Interval: 0.002499	Running Time: 1.489165
[(0.7688006162643433,)]	Time Interval: 0.000039	Running Time: 1.489204
[(1.6289671659469604,), (0.7691637873649597,)]	Time Interval: 0.008376	Running Time: 1.497580
[(1.6290801763534546,), (0.7688839435577393,)]	Time Interval: 0.008588	Running Time: 1.506168
[(1.629240870475769,)]	Time Interval: 0.008282	Running Time: 1.514450
[(0.7689448595046997,)]	Time Interval: 0.000039	Running Time: 1.514489
[(1.6293641328811646,), (0.7689273357391357,)]	Time Interval: 0.008137	Running Time: 1.522626
[(1.6294610500335693,), (0.7689762115478516,)]	Time Interval: 0.008400	Running Time: 1.531026
[(1.6295326948165894,)]	Time Interval: 0.008135	Running Time: 1.539161
[(0.7689483761787415,)]	Time Interval: 0.000038	Running Time: 1.539199
[(1.6296082735061646,), (0.7688957452774048,)]	Time Interval: 0.008380	Running Time: 1.547579
[(1.629638910293579,), (0.769141435623169,)]	Time Interval: 0.008858	Running Time: 1.556437
[(1.629614233970642,)]	Time Interval: 0.007723	Running Time: 1.564160
[(0.7688442468643188,)]	Time Interval: 0.001978	Running Time: 1.566138
[(1.629565715789795,), (0.7691086530685425,)]	Time Interval: 0.006459	Running Time: 1.572597
[(1.629565715789795,), (0.7691086530685425,)]	Time Interval: 0.008610	Running Time: 1.581207
[(1.629565715789795,)]	Time Interval: 0.007937	Running Time: 1.589144
[(0.7691086530685425,)]	Time Interval: 0.000039	Running Time: 1.589183
[(1.629565715789795,), (0.7691086530685425,)]	Time Interval: 0.008885	Running Time: 1.598068
[(1.629565715789795,), (0.7691086530685425,)]	Time Interval: 0.007805	Running Time: 1.605873
[(1.629237174987793,)]	Time Interval: 0.009085	Running Time: 1.614958
[(0.7687616348266602,)]	Time Interval: 0.000038	Running Time: 1.614996
[(1.629237174987793,), (0.7687616348266602,)]	Time Interval: 0.008886	Running Time: 1.623882
[(1.629266619682312,), (0.7689222693443298,)]	Time Interval: 0.007094	Running Time: 1.630976
[(1.7180063724517822,)]	Time Interval: 0.008162	Running Time: 1.639138
[(0.18436914682388306,), (2.1395790576934814,), (1.7177447080612183,)]	Time Interval: 0.008757	Running Time: 1.647895
[(0.18566575646400452,), (2.140371322631836,), (1.717717170715332,)]	Time Interval: 0.008080	Running Time: 1.655975
[(0.18491730093955994,), (2.1397924423217773,), (1.7172784805297852,)]	Time Interval: 0.009429	Running Time: 1.665404
