hello :-)!	Running Time: 0.000000
[(0.03628697991371155,), (0.04507467895746231,)]	Running Time: 1.382051
[(0.03629133850336075,), (0.04506402462720871,)]	Running Time: 1.390674
[(0.036296259611845016,), (0.045072026550769806,)]	Running Time: 1.398398
[(0.03628988936543465,), (0.04520503059029579,)]	Running Time: 1.406331
[(0.03536489978432655,), (0.04506292566657066,)]	Running Time: 1.415161
[(0.03629209101200104,), (0.04507714509963989,)]	Running Time: 1.424430
[(0.036284733563661575,), (0.04507363960146904,)]	Running Time: 1.432881
[(0.04522915929555893,), (0.035456012934446335,)]	Running Time: 1.439847
[(0.045067138969898224,), (0.03628529980778694,)]	Running Time: 1.448167
[(0.04507134482264519,), (0.03628483787178993,)]	Running Time: 1.457116
[(0.04517487809062004,), (0.03543855622410774,)]	Running Time: 1.464953
[(0.04521578177809715,), (0.03554639592766762,)]	Running Time: 1.473737
[(0.04513303190469742,), (0.03542909398674965,)]	Running Time: 1.482574
[(0.04521084949374199,), (0.03550859913229942,)]	Running Time: 1.490208
[(0.04526951164007187,), (0.03551018238067627,)]	Running Time: 1.498421
[(0.04523035138845444,), (0.035500213503837585,)]	Running Time: 1.506593
[(0.04506934434175491,), (0.036282435059547424,)]	Running Time: 1.515652
[(0.045075155794620514,), (0.03628409281373024,)]	Running Time: 1.523771
[(0.045076820999383926,), (0.03628505766391754,)]	Running Time: 1.531600
[(0.04506849870085716,), (0.03628862649202347,)]	Running Time: 1.539833
[(0.04522734135389328,), (0.03542974591255188,)]	Running Time: 1.548734
[(0.04524695500731468,), (0.03573422506451607,)]	Running Time: 1.557202
[(0.04507824778556824,), (0.036285463720560074,)]	Running Time: 1.564810
[(0.04517753794789314,), (0.03547895327210426,)]	Running Time: 1.574317
[(0.04507686570286751,), (0.03628992289304733,)]	Running Time: 1.581758
[(0.04506666958332062,), (0.03628887981176376,)]	Running Time: 1.590006
[(0.04507836326956749,), (0.036285869777202606,)]	Running Time: 1.598359
[(0.045067738741636276,), (0.03628835454583168,)]	Running Time: 1.607925
[(0.045066095888614655,), (0.03627989441156387,)]	Running Time: 1.615401
[(0.04506519064307213,), (0.03628667816519737,)]	Running Time: 1.623502
[(0.045182473957538605,), (0.03531774505972862,)]	Running Time: 1.632404
[(0.04507267102599144,), (0.0362839438021183,)]	Running Time: 1.640454
[(0.045071326196193695,), (0.036291513592004776,)]	Running Time: 1.648270
[(0.045071084052324295,), (0.036287080496549606,)]	Running Time: 1.656340
[(0.04505028575658798,), (0.03536403551697731,)]	Running Time: 1.665668
[(0.045069895684719086,), (0.03629215061664581,)]	Running Time: 1.673970
[(0.04507605358958244,), (0.036287255585193634,)]	Running Time: 1.681868
[(0.04507974535226822,), (0.0362909659743309,)]	Running Time: 1.690087
[(0.04509160295128822,), (0.03630293905735016,)]	Running Time: 1.698667
[(0.045076265931129456,), (0.03629322350025177,)]	Running Time: 1.707011
[(0.045187145471572876,), (0.035451341420412064,)]	Running Time: 1.715265
[(0.04507054388523102,), (0.03629332780838013,)]	Running Time: 1.723719
[(0.04519909620285034,), (0.03542057424783707,)]	Running Time: 1.732319
[(0.045215412974357605,), (0.03537407144904137,)]	Running Time: 1.740163
[(0.045073941349983215,), (0.0362933985888958,)]	Running Time: 1.748236
[(0.045247647911310196,), (0.035463545471429825,)]	Running Time: 1.757177
[(0.045264001935720444,), (0.03545011952519417,)]	Running Time: 1.765594
[(0.04507889971137047,), (0.03629407286643982,)]	Running Time: 1.773691
[(0.045223839581012726,), (0.035475604236125946,)]	Running Time: 1.781919
[(0.04506811499595642,), (0.036306340247392654,)]	Running Time: 1.791407
[(0.0451754592359066,), (0.0354120247066021,)]	Running Time: 1.799985
[(0.045235052704811096,), (0.0354793556034565,)]	Running Time: 1.807076
[(0.04508350417017937,), (0.03629270941019058,)]	Running Time: 1.815129
[(0.045090701431035995,), (0.03629685193300247,)]	Running Time: 1.823735
[(0.04509842395782471,), (0.03629587963223457,)]	Running Time: 1.831691
[(0.045086923986673355,), (0.036305785179138184,)]	Running Time: 1.840089
[(0.0452113151550293,), (0.03538631647825241,)]	Running Time: 1.849089
[(0.04516720771789551,), (0.03533412516117096,)]	Running Time: 1.857139
[(0.0450785756111145,), (0.03629890829324722,)]	Running Time: 1.864860
[(0.04508165270090103,), (0.0362919382750988,)]	Running Time: 1.873611
[(0.04507388919591904,), (0.03629489988088608,)]	Running Time: 1.881895
[(0.04507948085665703,), (0.036291737109422684,)]	Running Time: 1.890205
[(0.045078303664922714,), (0.036302946507930756,)]	Running Time: 1.898478
[(0.045230429619550705,), (0.03548720106482506,)]	Running Time: 1.906980
[(0.0452200323343277,), (0.03542225807905197,)]	Running Time: 1.915607
[(0.04506850615143776,), (0.03629737347364426,)]	Running Time: 1.923597
[(0.04507313296198845,), (0.03629671037197113,)]	Running Time: 1.932166
[(0.045080237090587616,), (0.036287885159254074,)]	Running Time: 1.940728
[(0.04507941007614136,), (0.03629037365317345,)]	Running Time: 1.948855
[(0.04507209360599518,), (0.03630460053682327,)]	Running Time: 1.956830
[(0.04522885009646416,), (0.0353863388299942,)]	Running Time: 1.965018
[(0.04507210850715637,), (0.03630023077130318,)]	Running Time: 1.973987
[(0.04519043490290642,), (0.035433460026979446,)]	Running Time: 1.982005
[(0.04506897181272507,), (0.03628800809383392,)]	Running Time: 1.990078
[(0.04525306448340416,), (0.035322777926921844,)]	Running Time: 1.998463
[(0.04508224502205849,), (0.03629916533827782,)]	Running Time: 2.007289
[(0.045244574546813965,), (0.03544536232948303,)]	Running Time: 2.015442
[(0.045243605971336365,), (0.035386763513088226,)]	Running Time: 2.023393
[(0.04525149613618851,), (0.0353553332388401,)]	Running Time: 2.032829
[(0.04527787119150162,), (0.03540121018886566,)]	Running Time: 2.040591
[(0.04523109272122383,), (0.03521999716758728,)]	Running Time: 2.048728
[(0.04527159035205841,), (0.03565249219536781,)]	Running Time: 2.057322
[(0.04507948458194733,), (0.03629525005817413,)]	Running Time: 2.065649
[(0.045201677829027176,), (0.03528911992907524,)]	Running Time: 2.073662
[(0.045099250972270966,), (0.036300573498010635,)]	Running Time: 2.081683
[(0.04507169499993324,), (0.036306533962488174,)]	Running Time: 2.090409
[(0.04531800001859665,), (0.03597071021795273,)]	Running Time: 2.098685
[(0.04506314918398857,), (0.03629092872142792,)]	Running Time: 2.107376
[(0.04506056010723114,), (0.03629050403833389,)]	Running Time: 2.114942
[(0.04506723955273628,), (0.03628687560558319,)]	Running Time: 2.123902
[(0.04522847756743431,), (0.035371407866477966,)]	Running Time: 2.131807
[(0.04507153853774071,), (0.0363057479262352,)]	Running Time: 2.139780
[(0.045219119638204575,), (0.03540069982409477,)]	Running Time: 2.148436
[(0.0451873242855072,), (0.03557181730866432,)]	Running Time: 2.157650
[(0.045153699815273285,), (0.03531419858336449,)]	Running Time: 2.165496
[(0.044935595244169235,), (0.03540293872356415,)]	Running Time: 2.173361
[(0.04507411643862724,), (0.03629516437649727,)]	Running Time: 2.181581
[(0.04506521299481392,), (0.036295272409915924,)]	Running Time: 2.190628
[(0.04507740959525108,), (0.03629767522215843,)]	Running Time: 2.198587
[(0.045078378170728683,), (0.03629016876220703,)]	Running Time: 2.206790
[(0.04506183788180351,), (0.036294855177402496,)]	Running Time: 2.215724
[(0.04524711146950722,), (0.03564612567424774,)]	Running Time: 2.223811
[(0.04505382478237152,), (0.03629467263817787,)]	Running Time: 2.231880
[(0.04503994435071945,), (0.036288775503635406,)]	Running Time: 2.240538
[(0.04515804722905159,), (0.03544599562883377,)]	Running Time: 2.248887
[(0.04507812485098839,), (0.036288436502218246,)]	Running Time: 2.256930
[(0.045251164585351944,), (0.03552497550845146,)]	Running Time: 2.265050
[(0.0452275387942791,), (0.03547227010130882,)]	Running Time: 2.273368
[(0.04505233094096184,), (0.036291636526584625,)]	Running Time: 2.282241
[(0.04506470635533333,), (0.036284442991018295,)]	Running Time: 2.290647
[(0.04520861431956291,), (0.03548267111182213,)]	Running Time: 2.298445
[(0.04528609663248062,), (0.03558450937271118,)]	Running Time: 2.307511
[(0.04517073556780815,), (0.035182416439056396,)]	Running Time: 2.315188
[(0.045266278088092804,), (0.035597339272499084,)]	Running Time: 2.323420
[(0.04505956172943115,), (0.03628677874803543,)]	Running Time: 2.331935
[(0.04507557675242424,), (0.036285046488046646,)]	Running Time: 2.340751
[(0.04518166184425354,), (0.03550118952989578,)]	Running Time: 2.348519
[(0.04524346813559532,), (0.035594865679740906,)]	Running Time: 2.356636
[(0.045063987374305725,), (0.036295682191848755,)]	Running Time: 2.365065
[(0.04507008567452431,), (0.03629552572965622,)]	Running Time: 2.373747
[(0.045281801372766495,), (0.035629354417324066,)]	Running Time: 2.381796
[(0.045056384056806564,), (0.03629542514681816,)]	Running Time: 2.390369
[(0.04505623131990433,), (0.036297108978033066,)]	Running Time: 2.399024
[(0.04518301039934158,), (0.03535876423120499,)]	Running Time: 2.407254
[(0.04517863690853119,), (0.03527643159031868,)]	Running Time: 2.414886
[(0.04524775594472885,), (0.035485975444316864,)]	Running Time: 2.423300
[(0.0450722835958004,), (0.03628043830394745,)]	Running Time: 2.432136
[(0.04524233192205429,), (0.0353788286447525,)]	Running Time: 2.439957
[(0.045061513781547546,), (0.03629125654697418,)]	Running Time: 2.448425
[(0.04519905149936676,), (0.03542037680745125,)]	Running Time: 2.456920
[(0.04506104066967964,), (0.036289032548666,)]	Running Time: 2.465447
[(0.04525011032819748,), (0.035458754748106,)]	Running Time: 2.473529
[(0.04524633660912514,), (0.035310328006744385,)]	Running Time: 2.481901
[(0.04526570811867714,), (0.03560931608080864,)]	Running Time: 2.490777
[(0.045054446905851364,), (0.036287572234869,)]	Running Time: 2.498473
[(0.04506424814462662,), (0.036284588277339935,)]	Running Time: 2.506891
[(0.04506049305200577,), (0.03629041090607643,)]	Running Time: 2.515274
[(0.04525331035256386,), (0.03559821471571922,)]	Running Time: 2.523843
[(0.0452449694275856,), (0.03557664901018143,)]	Running Time: 2.531993
[(0.04506023973226547,), (0.03628857061266899,)]	Running Time: 2.540118
[(0.04504937678575516,), (0.0362919345498085,)]	Running Time: 2.548245
[(0.04523497447371483,), (0.035383328795433044,)]	Running Time: 2.557137
[(0.04504920542240143,), (0.03629055619239807,)]	Running Time: 2.565049
[(0.045058995485305786,), (0.03629087284207344,)]	Running Time: 2.573805
[(0.045248858630657196,), (0.03553682938218117,)]	Running Time: 2.582269
[(0.04518827050924301,), (0.035534344613552094,)]	Running Time: 2.590425
[(0.04505990073084831,), (0.03628421574831009,)]	Running Time: 2.598203
[(0.04506661742925644,), (0.036292459815740585,)]	Running Time: 2.607056
[(0.04517439007759094,), (0.035269156098365784,)]	Running Time: 2.615980
[(0.04520614817738533,), (0.03545815497636795,)]	Running Time: 2.623672
[(0.045055050402879715,), (0.03548412397503853,)]	Running Time: 2.631955
[(0.045059408992528915,), (0.03627544268965721,)]	Running Time: 2.640319
[(0.04504809156060219,), (0.036269500851631165,)]	Running Time: 2.648438
[(0.04533569887280464,), (0.035492319613695145,)]	Running Time: 2.656757
[(0.045192137360572815,), (0.03567015752196312,)]	Running Time: 2.664870
[(0.04513154551386833,), (0.035821475088596344,)]	Running Time: 2.674041
[(0.04521141201257706,), (0.03595612570643425,)]	Running Time: 2.681850
[(0.045173753052949905,), (0.03605097159743309,)]	Running Time: 2.690214
[(0.04507137089967728,), (0.036172013729810715,)]	Running Time: 2.697954
[(0.045145515352487564,), (0.03609229251742363,)]	Running Time: 2.707220
[(0.045173853635787964,), (0.03605077043175697,)]	Running Time: 2.715216
[(0.04524547979235649,), (0.03591844439506531,)]	Running Time: 2.723791
[(0.04523859918117523,), (0.03594900667667389,)]	Running Time: 2.732061
[(0.04520382732152939,), (0.03603127598762512,)]	Running Time: 2.740542
